Disease,Symptoms,Treatment
(Are) Encephalopathy,"Encephalopathy may be caused by infectious agent (bacteria, virus, or prion), metabolic or mitochondrial dysfunction, brain tumor or increased pressure in the skull, prolonged exposure to toxic elements (including solvents, drugs, radiation, paints, industrial chemicals, and certain metals), chronic progressive trauma, poor nutrition, or lack of oxygen or blood flow to the brain. Depending on the type and severity of encephalopathy, common neurological symptoms are progressive loss of memory and cognitive ability, subtle personality changes, inability to concentrate, lethargy, and progressive loss of consciousness.","Encephalopathy may be caused by infectious agent (bacteria, virus, or prion), metabolic or mitochondrial dysfunction, brain tumor or increased pressure in the skull, prolonged exposure to toxic elements (including solvents, drugs, radiation, paints, industrial chemicals, and certain metals), chronic progressive trauma, poor nutrition, or lack of oxygen or blood flow to the brain."
Treatments For Encephalopathy,"Treatment is symptomatic and varies, according to the type and severity of the encephalopathy.","Your physician can provide specific instructions for proper care and treatment. In severe cases, dialysis or organ replacement surgery may be needed."
Outlook For Encephalopathy,"Treating the underlying cause of the disorder may improve symptoms. However, the encephalopathy may cause permanent structural changes and irreversible damage to the brain.","However, the encephalopathy may cause permanent structural changes and irreversible damage to the brain."
(Are) Sturge-Weber Syndrome,The birthmark can vary in color from light pink to deep purple and is caused by an overabundance of capillaries around the trigeminal nerve just beneath the surface of the face. Neurological symptoms include seizures that begin in infancy and may worsen with age.,The birthmark can vary in color from light pink to deep purple and is caused by an overabundance of capillaries around the trigeminal nerve just beneath the surface of the face.
Treatments For Sturge-Weber Syndrome,Treatment for Sturge-Weber syndrome is symptomatic.,Laser treatment may be used to lighten or remove the birthmark. Anticonvulsant medications may be used to control seizures.
Outlook For Sturge-Weber Syndrome,"Although it is possible for the birthmark and atrophy in the cerebral cortex to be present without symptoms, most infants will develop convulsive seizures during their first year of life.",There is a greater likelihood of intellectual impairment when seizures start before the age of 2 and are resistant to treatment.
(Are) Kennedy'S Disease,"It is one of a group of disorders called lower motor neuron disorders (which involve disruptions in the transmission of nerve cell signals in the brain to nerve cells in the brain stem and spinal cord). Early symptoms include tremor of the outstretched hands, muscle cramps with exertion, and fasciculations (fleeting muscle twitches visible under the skin).",It is one of a group of disorders called lower motor neuron disorders (which involve disruptions in the transmission of nerve cell signals in the brain to nerve cells in the brain stem and spinal cord).
Treatments For Kennedy'S Disease,Treatment is symptomatic and supportive.,Currently there is no known cure for Kennedy's disease. Physical therapy and rehabilitation to slow muscle weakness and atrophy may prove helpful.
Outlook For Kennedy'S Disease,Kennedy's disease is slowly progressive.,"Individuals tend to remain ambulatory until late in the disease, although some may be wheelchair-bound during later stages."
(Are) Neurofibromatosis,"The neurofibromatoses are genetic disorders that cause tumors to grow in the nervous system. These disorders cause tumors to grow on nerves and, less frequently, in the brain and spinal cord, and produce other abnormalities such as skin changes and bone deformities.",The tumors begin in the supporting cells that make up the nerves and the myelin sheath--the thin membrane that envelops and protects the nerves.
Treatments For Neurofibromatosis,Pain usually subsides when tumors are removed completely.,"Treatment may include surgery, focused radiation, or chemotherapy. Surgery to remove NF2 tumors completely is one option."
Outlook For Neurofibromatosis,"In most cases, symptoms of NF1 are mild, and individuals live normal and productive lives. In some cases, however, NF1 can be severely debilitating and may cause cosmetic and psychological issues.","In some cases, however, NF1 can be severely debilitating and may cause cosmetic and psychological issues."
(Are) Aicardi-Goutieres Syndrome Disorder,"Their jittery behavior and poor feeding ability mimic congenital viral infection. Babies with later-onset AGS begin having symptoms after the first weeks or months of normal development, which appear as a progressive decline in head growth, weak or stiffened muscles (spasticity), and cognitive and developmental delays that range from moderate to severe. Symptoms last for several months, and include irritability, inconsolable crying, intermittent fever, seizures, and loss of developmental skills.","There are two forms of the syndrome: an early-onset form that is severe, and a late-onset form that has less impact upon neurological function."
Treatments For Aicardi-Goutieres Syndrome Disorder,"Depending upon the severity of symptoms, children may require chest physiotherapy and treatment for respiratory complications. Children should be monitored for evidence of glaucoma in the first few months of life, and later for evidence of scoliosis, diabetes, and underactive thyroid.The prognosis depends upon the severity of symptoms.",Seizures may be managed with standard anticonvulsant medications.
Outlook For Aicardi-Goutieres Syndrome Disorder,The prognosis depends upon the severity of symptoms.,Children with early-onset AGS have the highest risk of death.
